iata          lon      lat
PVE_0578   -57.50    -3.50
PVE_0798   -55.50     2.50
PVE_0725   -67.50     0.50
PVE_0235   -78.50   -10.50
PVE_0542   -48.50    -4.50
PVE_0755   -68.50     1.50
PVE_0025   -49.50   -16.50
PVE_0485   -58.50    -5.50
PVE_0544   -46.50    -4.50
PVE_0742   -50.50     0.50
PVE_0096   -55.50   -14.50
PVE_1003   -69.50    12.50
PVE_0831   -77.50     4.50
PVE_0165   -65.50   -12.50
PVE_0849   -59.50     4.50
PVE_0489   -54.50    -5.50
PVE_0252   -61.50   -10.50
PVE_0763   -60.50     1.50
PVE_0387   -60.50    -7.50
PVE_0075   -76.50   -14.50
PVE_0916   -69.50     7.50
PVE_0507   -36.50    -5.50
PVE_0444   -51.50    -6.50
PVE_0052   -60.50   -15.50
PVE_0693   -64.50    -0.50
PVE_0183   -47.50   -12.50
PVE_0866   -69.50     5.50
PVE_0203   -68.50   -11.50
PVE_0482   -61.50    -5.50
PVE_0865   -70.50     5.50
PVE_0229   -42.50   -11.50
PVE_0351   -50.50    -8.50
PVE_0158   -72.50   -12.50
PVE_0167   -63.50   -12.50
PVE_0678   -79.50    -0.50
PVE_0182   -48.50   -12.50
PVE_0888   -73.50     6.50
PVE_0042   -70.50   -15.50
PVE_0985   -63.50    10.50
PVE_0547   -43.50    -4.50
PVE_0427   -68.50    -6.50
PVE_0480   -63.50    -5.50
PVE_0668   -52.50    -1.50
PVE_0034   -40.50   -16.50
PVE_0388   -59.50    -7.50
PVE_0281   -75.50    -9.50
PVE_0262   -51.50   -10.50
PVE_0903   -58.50     6.50
PVE_0646   -74.50    -1.50
PVE_0050   -62.50   -15.50
PVE_0010   -64.50   -16.50
PVE_0610   -68.50    -2.50
PVE_0017   -57.50   -16.50
PVE_0856   -52.50     4.50
PVE_0954   -78.50     9.50
PVE_0435   -60.50    -6.50
PVE_0458   -37.50    -6.50
PVE_0120   -70.50   -13.50
PVE_0164   -66.50   -12.50
PVE_0695   -62.50    -0.50
PVE_0987   -61.50    10.50
PVE_0859   -76.50     5.50
PVE_0662   -58.50    -1.50
PVE_0540   -50.50    -4.50
PVE_0156   -74.50   -12.50
PVE_0674   -46.50    -1.50
PVE_0991   -72.50    11.50
PVE_0313   -43.50    -9.50
PVE_0035   -39.50   -16.50
PVE_0408   -39.50    -7.50
PVE_0796   -57.50     2.50
PVE_0574   -61.50    -3.50
PVE_0243   -70.50   -10.50
PVE_0774   -49.50     1.50
PVE_0642   -78.50    -1.50
PVE_0146   -44.50   -13.50
PVE_0641   -79.50    -1.50
PVE_0312   -44.50    -9.50
PVE_0155   -75.50   -12.50
PVE_0597   -38.50    -3.50
PVE_0041   -71.50   -15.50
PVE_0341   -60.50    -8.50
PVE_0268   -45.50   -10.50
PVE_0308   -48.50    -9.50
PVE_0676   -44.50    -1.50
PVE_0238   -75.50   -10.50
PVE_0606   -72.50    -2.50
PVE_0462   -81.50    -5.50
PVE_0978   -70.50    10.50
PVE_0186   -44.50   -12.50
PVE_0343   -58.50    -8.50
PVE_0376   -71.50    -7.50
PVE_0814   -67.50     3.50
PVE_1005   -61.50    12.50
PVE_0063   -49.50   -15.50
PVE_0769   -54.50     1.50
PVE_0124   -66.50   -13.50
PVE_0398   -49.50    -7.50
PVE_0593   -42.50    -3.50
PVE_0391   -56.50    -7.50
PVE_0280   -76.50    -9.50
PVE_0093   -58.50   -14.50
PVE_0116   -74.50   -13.50
PVE_0635   -43.50    -2.50
PVE_0336   -65.50    -8.50
PVE_0302   -54.50    -9.50
PVE_0572   -63.50    -3.50
PVE_0929   -80.50     8.50
PVE_0620   -58.50    -2.50
PVE_0722   -70.50     0.50
PVE_0909   -76.50     7.50
PVE_0362   -39.50    -8.50
PVE_0538   -52.50    -4.50
PVE_0603   -75.50    -2.50
PVE_0906   -80.50     7.50
PVE_0698   -59.50    -0.50
PVE_0548   -42.50    -4.50
PVE_0196   -75.50   -11.50
PVE_0753   -70.50     1.50
PVE_0543   -47.50    -4.50
PVE_0058   -54.50   -15.50
PVE_0656   -64.50    -1.50
PVE_0181   -49.50   -12.50
PVE_0174   -56.50   -12.50
PVE_0113   -38.50   -14.50
PVE_0107   -44.50   -14.50
PVE_0254   -59.50   -10.50
PVE_0355   -46.50    -8.50
PVE_0568   -67.50    -3.50
PVE_0494   -49.50    -5.50
PVE_0731   -61.50     0.50
PVE_0077   -74.50   -14.50
PVE_0205   -66.50   -11.50
PVE_0844   -64.50     4.50
PVE_0639   -39.50    -2.50
PVE_0168   -62.50   -12.50
PVE_0549   -41.50    -4.50
PVE_0490   -53.50    -5.50
PVE_0374   -73.50    -7.50
PVE_0491   -52.50    -5.50
PVE_0585   -50.50    -3.50
PVE_0583   -52.50    -3.50
PVE_0665   -55.50    -1.50
PVE_0475   -68.50    -5.50
PVE_0945   -64.50     8.50
PVE_0079   -72.50   -14.50
PVE_0149   -41.50   -13.50
PVE_0441   -54.50    -6.50
PVE_0983   -65.50    10.50
PVE_0535   -55.50    -4.50
PVE_0002   -72.50   -16.50
PVE_0713   -79.50     0.50
PVE_0518   -72.50    -4.50
PVE_0536   -54.50    -4.50
PVE_0364   -37.50    -8.50
PVE_0080   -71.50   -14.50
PVE_0504   -39.50    -5.50
PVE_0153   -77.50   -12.50
PVE_0356   -45.50    -8.50
PVE_0115   -75.50   -13.50
PVE_0700   -57.50    -0.50
PVE_0934   -75.50     8.50
PVE_0018   -56.50   -16.50
PVE_0173   -57.50   -12.50
PVE_0561   -74.50    -3.50
PVE_0804   -77.50     3.50
PVE_0127   -63.50   -13.50
PVE_0270   -43.50   -10.50
PVE_0200   -71.50   -11.50
PVE_0529   -61.50    -4.50
PVE_0691   -66.50    -0.50
PVE_0590   -45.50    -3.50
PVE_0703   -54.50    -0.50
PVE_0815   -66.50     3.50
PVE_0337   -64.50    -8.50
PVE_0785   -68.50     2.50
PVE_0317   -39.50    -9.50
PVE_0326   -75.50    -8.50
PVE_0594   -41.50    -3.50
PVE_0546   -44.50    -4.50
PVE_0479   -64.50    -5.50
PVE_0752   -71.50     1.50
PVE_0889   -72.50     6.50
PVE_0382   -65.50    -7.50
PVE_0140   -50.50   -13.50
PVE_0318   -38.50    -9.50
PVE_0424   -71.50    -6.50
PVE_0608   -70.50    -2.50
PVE_0974   -74.50    10.50
PVE_0126   -64.50   -13.50
PVE_0114   -76.50   -13.50
PVE_0180   -50.50   -12.50
PVE_0966   -66.50     9.50
PVE_0118   -72.50   -13.50
PVE_0851   -57.50     4.50
PVE_0282   -74.50    -9.50
PVE_0577   -58.50    -3.50
PVE_0301   -55.50    -9.50
PVE_0692   -65.50    -0.50
PVE_0395   -52.50    -7.50
PVE_0305   -51.50    -9.50
PVE_0636   -42.50    -2.50
PVE_0368   -79.50    -7.50
PVE_0353   -48.50    -8.50
PVE_0046   -66.50   -15.50
PVE_0675   -45.50    -1.50
PVE_0912   -73.50     7.50
PVE_0251   -62.50   -10.50
PVE_0310   -46.50    -9.50
PVE_0338   -63.50    -8.50
PVE_0154   -76.50   -12.50
PVE_0649   -71.50    -1.50
PVE_0271   -42.50   -10.50
PVE_0407   -40.50    -7.50
PVE_0450   -45.50    -6.50
PVE_0780   -73.50     2.50
PVE_0257   -56.50   -10.50
PVE_0960   -72.50     9.50
PVE_0672   -48.50    -1.50
PVE_0899   -62.50     6.50
PVE_0134   -56.50   -13.50
PVE_0545   -45.50    -4.50
PVE_0142   -48.50   -13.50
PVE_0425   -70.50    -6.50
PVE_0245   -68.50   -10.50
PVE_0823   -58.50     3.50
PVE_0399   -48.50    -7.50
PVE_0756   -67.50     1.50
PVE_0503   -40.50    -5.50
PVE_0331   -70.50    -8.50
PVE_0750   -73.50     1.50
PVE_0314   -42.50    -9.50
PVE_0169   -61.50   -12.50
PVE_0335   -66.50    -8.50
PVE_0839   -69.50     4.50
PVE_0474   -69.50    -5.50
PVE_0125   -65.50   -13.50
PVE_0309   -47.50    -9.50
PVE_0939   -70.50     8.50
PVE_0732   -60.50     0.50
PVE_0571   -64.50    -3.50
PVE_0961   -71.50     9.50
PVE_0837   -71.50     4.50
PVE_0607   -71.50    -2.50
PVE_0486   -57.50    -5.50
PVE_0821   -60.50     3.50
PVE_0152   -38.50   -13.50
PVE_0497   -46.50    -5.50
PVE_0056   -56.50   -15.50
PVE_0100   -51.50   -14.50
PVE_0989   -74.50    11.50
PVE_0714   -78.50     0.50
PVE_0625   -53.50    -2.50
PVE_0927   -58.50     7.50
PVE_0640   -80.50    -1.50
PVE_0624   -54.50    -2.50
PVE_0858   -77.50     5.50
PVE_0344   -57.50    -8.50
PVE_0933   -76.50     8.50
PVE_0055   -57.50   -15.50
PVE_0380   -67.50    -7.50
PVE_0119   -71.50   -13.50
PVE_0371   -76.50    -7.50
PVE_0472   -71.50    -5.50
PVE_0054   -58.50   -15.50
PVE_0541   -49.50    -4.50
PVE_0926   -59.50     7.50
PVE_0495   -48.50    -5.50
PVE_0239   -74.50   -10.50
PVE_0089   -62.50   -14.50
PVE_0095   -56.50   -14.50
PVE_0223   -48.50   -11.50
PVE_0596   -39.50    -3.50
PVE_0053   -59.50   -15.50
PVE_0483   -60.50    -5.50
PVE_0602   -76.50    -2.50
PVE_0613   -65.50    -2.50
PVE_0109   -42.50   -14.50
PVE_0505   -38.50    -5.50
PVE_0194   -77.50   -11.50
PVE_0396   -51.50    -7.50
PVE_0162   -68.50   -12.50
PVE_0746   -77.50     1.50
PVE_0397   -50.50    -7.50
PVE_0405   -42.50    -7.50
PVE_0611   -67.50    -2.50
PVE_0230   -41.50   -11.50
PVE_0036   -38.50   -16.50
PVE_0723   -69.50     0.50
PVE_0671   -49.50    -1.50
PVE_0030   -44.50   -16.50
PVE_0068   -44.50   -15.50
PVE_0296   -60.50    -9.50
PVE_0875   -60.50     5.50
PVE_0711   -46.50    -0.50
PVE_0962   -70.50     9.50
PVE_0609   -69.50    -2.50
PVE_0923   -62.50     7.50
PVE_0797   -56.50     2.50
PVE_0498   -45.50    -5.50
PVE_0679   -78.50    -0.50
PVE_0659   -61.50    -1.50
PVE_0185   -45.50   -12.50
PVE_0191   -39.50   -12.50
PVE_0959   -73.50     9.50
PVE_0811   -70.50     3.50
PVE_0129   -61.50   -13.50
PVE_0031   -43.50   -16.50
PVE_0922   -63.50     7.50
PVE_0758   -65.50     1.50
PVE_0795   -58.50     2.50
PVE_0437   -58.50    -6.50
PVE_0967   -65.50     9.50
PVE_0481   -62.50    -5.50
PVE_0743   -49.50     0.50
PVE_0267   -46.50   -10.50
PVE_0682   -75.50    -0.50
PVE_0660   -60.50    -1.50
PVE_0738   -54.50     0.50
PVE_0329   -72.50    -8.50
PVE_0988   -60.50    10.50
PVE_0039   -73.50   -15.50
PVE_0575   -60.50    -3.50
PVE_1002   -70.50    12.50
PVE_0473   -70.50    -5.50
PVE_0468   -75.50    -5.50
PVE_0201   -70.50   -11.50
PVE_0138   -52.50   -13.50
PVE_0617   -61.50    -2.50
PVE_0924   -61.50     7.50
PVE_0694   -63.50    -0.50
PVE_0319   -37.50    -9.50
PVE_0891   -70.50     6.50
PVE_0704   -53.50    -0.50
PVE_0871   -64.50     5.50
PVE_0627   -51.50    -2.50
PVE_0078   -73.50   -14.50
PVE_0715   -77.50     0.50
PVE_0869   -66.50     5.50
PVE_0192   -38.50   -12.50
PVE_0026   -48.50   -16.50
PVE_0143   -47.50   -13.50
PVE_0261   -52.50   -10.50
PVE_0476   -67.50    -5.50
PVE_0619   -59.50    -2.50
PVE_0976   -72.50    10.50
PVE_0029   -45.50   -16.50
PVE_0654   -66.50    -1.50
PVE_0944   -65.50     8.50
PVE_0285   -71.50    -9.50
PVE_0762   -61.50     1.50
PVE_0137   -53.50   -13.50
PVE_0827   -54.50     3.50
PVE_0946   -63.50     8.50
PVE_0082   -69.50   -14.50
PVE_0770   -53.50     1.50
PVE_0105   -46.50   -14.50
PVE_0618   -60.50    -2.50
PVE_0757   -66.50     1.50
PVE_0759   -64.50     1.50
PVE_0737   -55.50     0.50
PVE_0132   -58.50   -13.50
PVE_0225   -46.50   -11.50
PVE_0964   -68.50     9.50
PVE_0643   -77.50    -1.50
PVE_0315   -41.50    -9.50
PVE_0677   -80.50    -0.50
PVE_0832   -76.50     4.50
PVE_0930   -79.50     8.50
PVE_0910   -75.50     7.50
PVE_0587   -48.50    -3.50
PVE_0438   -57.50    -6.50
PVE_0500   -43.50    -5.50
PVE_0984   -64.50    10.50
PVE_0581   -54.50    -3.50
PVE_0307   -49.50    -9.50
PVE_0788   -65.50     2.50
PVE_0111   -40.50   -14.50
PVE_0801   -52.50     2.50
PVE_0867   -68.50     5.50
PVE_0873   -62.50     5.50
PVE_0744   -79.50     1.50
PVE_0248   -65.50   -10.50
PVE_0915   -70.50     7.50
PVE_0400   -47.50    -7.50
PVE_0805   -76.50     3.50
PVE_0098   -53.50   -14.50
PVE_0559   -76.50    -3.50
PVE_0375   -72.50    -7.50
PVE_0465   -78.50    -5.50
PVE_0528   -62.50    -4.50
PVE_0492   -51.50    -5.50
PVE_0699   -58.50    -0.50
PVE_0366   -35.50    -8.50
PVE_0431   -64.50    -6.50
PVE_0316   -40.50    -9.50
PVE_0428   -67.50    -6.50
PVE_0110   -41.50   -14.50
PVE_0826   -55.50     3.50
PVE_0448   -47.50    -6.50
PVE_0553   -37.50    -4.50
PVE_0749   -74.50     1.50
PVE_0883   -52.50     5.50
PVE_0222   -49.50   -11.50
PVE_0021   -53.50   -16.50
PVE_0710   -47.50    -0.50
PVE_0980   -68.50    10.50
PVE_0702   -55.50    -0.50
PVE_0434   -61.50    -6.50
PVE_0615   -63.50    -2.50
PVE_0629   -49.50    -2.50
PVE_0499   -44.50    -5.50
PVE_0977   -71.50    10.50
PVE_0686   -71.50    -0.50
PVE_0005   -69.50   -16.50
PVE_0241   -72.50   -10.50
PVE_0447   -48.50    -6.50
PVE_0515   -75.50    -4.50
PVE_0470   -73.50    -5.50
PVE_0951   -81.50     9.50
PVE_0383   -64.50    -7.50
PVE_0073   -39.50   -15.50
PVE_0838   -70.50     4.50
PVE_0357   -44.50    -8.50
PVE_0237   -76.50   -10.50
PVE_0799   -54.50     2.50
PVE_0361   -40.50    -8.50
PVE_0740   -52.50     0.50
PVE_0947   -62.50     8.50
PVE_0260   -53.50   -10.50
PVE_0488   -55.50    -5.50
PVE_0990   -73.50    11.50
PVE_0190   -40.50   -12.50
PVE_0101   -50.50   -14.50
PVE_0370   -77.50    -7.50
PVE_0210   -61.50   -11.50
PVE_0420   -75.50    -6.50
PVE_0092   -59.50   -14.50
PVE_0288   -68.50    -9.50
PVE_0718   -74.50     0.50
PVE_0014   -60.50   -16.50
PVE_0582   -53.50    -3.50
PVE_0272   -41.50   -10.50
PVE_0707   -50.50    -0.50
PVE_0622   -56.50    -2.50
PVE_0214   -57.50   -11.50
PVE_0328   -73.50    -8.50
PVE_0471   -72.50    -5.50
PVE_0995   -68.50    11.50
PVE_0829   -52.50     3.50
PVE_0411   -36.50    -7.50
PVE_0519   -71.50    -4.50
PVE_0879   -56.50     5.50
PVE_0868   -67.50     5.50
PVE_0570   -65.50    -3.50
PVE_0044   -68.50   -15.50
PVE_0567   -68.50    -3.50
PVE_0810   -71.50     3.50
PVE_0197   -74.50   -11.50
PVE_0882   -53.50     5.50
PVE_0040   -72.50   -15.50
PVE_0091   -60.50   -14.50
PVE_0001   -73.50   -16.50
PVE_0992   -71.50    11.50
PVE_0819   -62.50     3.50
PVE_0074   -38.50   -15.50
PVE_0451   -44.50    -6.50
PVE_0416   -79.50    -6.50
PVE_0264   -49.50   -10.50
PVE_0645   -75.50    -1.50
PVE_0339   -62.50    -8.50
PVE_1000   -72.50    12.50
PVE_0409   -38.50    -7.50
PVE_0224   -47.50   -11.50
PVE_0525   -65.50    -4.50
PVE_0917   -68.50     7.50
PVE_0422   -73.50    -6.50
PVE_0530   -60.50    -4.50
PVE_0204   -67.50   -11.50
PVE_0773   -50.50     1.50
PVE_0072   -40.50   -15.50
PVE_0266   -47.50   -10.50
PVE_0188   -42.50   -12.50
PVE_0250   -63.50   -10.50
PVE_0303   -53.50    -9.50
PVE_0650   -70.50    -1.50
PVE_0533   -57.50    -4.50
PVE_0981   -67.50    10.50
PVE_0840   -68.50     4.50
PVE_0787   -66.50     2.50
PVE_0024   -50.50   -16.50
PVE_0377   -70.50    -7.50
PVE_0863   -72.50     5.50
PVE_0905   -81.50     7.50
PVE_0901   -60.50     6.50
PVE_0163   -67.50   -12.50
PVE_0256   -57.50   -10.50
PVE_0277   -36.50   -10.50
PVE_0342   -59.50    -8.50
PVE_0279   -77.50    -9.50
PVE_0069   -43.50   -15.50
PVE_0145   -45.50   -13.50
PVE_0217   -54.50   -11.50
PVE_0784   -69.50     2.50
PVE_0493   -50.50    -5.50
PVE_0346   -55.50    -8.50
PVE_0806   -75.50     3.50
PVE_0449   -46.50    -6.50
PVE_0524   -66.50    -4.50
PVE_0406   -41.50    -7.50
PVE_0289   -67.50    -9.50
PVE_0969   -63.50     9.50
PVE_0043   -69.50   -15.50
PVE_0552   -38.50    -4.50
PVE_0179   -51.50   -12.50
PVE_0894   -67.50     6.50
PVE_0292   -64.50    -9.50
PVE_0413   -34.50    -7.50
PVE_0108   -43.50   -14.50
PVE_0297   -59.50    -9.50
PVE_0907   -78.50     7.50
PVE_0701   -56.50    -0.50
PVE_0565   -70.50    -3.50
PVE_0009   -65.50   -16.50
PVE_0852   -56.50     4.50
PVE_0294   -62.50    -9.50
PVE_0133   -57.50   -13.50
PVE_0099   -52.50   -14.50
PVE_0526   -64.50    -4.50
PVE_0226   -45.50   -11.50
PVE_0887   -74.50     6.50
PVE_0523   -67.50    -4.50
PVE_0996   -66.50    11.50
PVE_0365   -36.50    -8.50
PVE_0998   -63.50    11.50
PVE_0373   -74.50    -7.50
PVE_0598   -80.50    -2.50
PVE_0358   -43.50    -8.50
PVE_0011   -63.50   -16.50
PVE_0595   -40.50    -3.50
PVE_0644   -76.50    -1.50
PVE_0278   -78.50    -9.50
PVE_0122   -68.50   -13.50
PVE_0818   -63.50     3.50
PVE_0502   -41.50    -5.50
PVE_0385   -62.50    -7.50
PVE_0103   -48.50   -14.50
PVE_0820   -61.50     3.50
PVE_0623   -55.50    -2.50
PVE_0231   -40.50   -11.50
PVE_0605   -73.50    -2.50
PVE_0807   -74.50     3.50
PVE_0727   -65.50     0.50
PVE_0393   -54.50    -7.50
PVE_0833   -75.50     4.50
PVE_0071   -41.50   -15.50
PVE_0904   -57.50     6.50
PVE_0429   -66.50    -6.50
PVE_0697   -60.50    -0.50
PVE_0177   -53.50   -12.50
PVE_0461   -34.50    -6.50
PVE_0880   -55.50     5.50
PVE_0522   -68.50    -4.50
PVE_0049   -63.50   -15.50
PVE_0586   -49.50    -3.50
PVE_0637   -41.50    -2.50
PVE_0419   -76.50    -6.50
PVE_0721   -71.50     0.50
PVE_0460   -35.50    -6.50
PVE_0902   -59.50     6.50
PVE_0846   -62.50     4.50
PVE_0716   -76.50     0.50
PVE_0802   -51.50     2.50
PVE_0689   -68.50    -0.50
PVE_0579   -56.50    -3.50
PVE_0130   -60.50   -13.50
PVE_0534   -56.50    -4.50
PVE_0817   -64.50     3.50
PVE_0148   -42.50   -13.50
PVE_0919   -66.50     7.50
PVE_0506   -37.50    -5.50
PVE_0199   -72.50   -11.50
PVE_0456   -39.50    -6.50
PVE_0616   -62.50    -2.50
PVE_0414   -81.50    -6.50
PVE_0321   -35.50    -9.50
PVE_0734   -58.50     0.50
PVE_0767   -56.50     1.50
PVE_0455   -40.50    -6.50
PVE_0410   -37.50    -7.50
PVE_0708   -49.50    -0.50
PVE_0604   -74.50    -2.50
PVE_0004   -70.50   -16.50
PVE_0514   -76.50    -4.50
PVE_0487   -56.50    -5.50
PVE_0648   -72.50    -1.50
PVE_0842   -66.50     4.50
PVE_0298   -58.50    -9.50
PVE_0794   -59.50     2.50
PVE_0764   -59.50     1.50
PVE_0012   -62.50   -16.50
PVE_0793   -60.50     2.50
PVE_0783   -70.50     2.50
PVE_0234   -37.50   -11.50
PVE_0175   -55.50   -12.50
PVE_0569   -66.50    -3.50
PVE_0246   -67.50   -10.50
PVE_0778   -75.50     2.50
PVE_0511   -79.50    -4.50
PVE_0015   -59.50   -16.50
PVE_1001   -71.50    12.50
PVE_0661   -59.50    -1.50
PVE_0255   -58.50   -10.50
PVE_0360   -41.50    -8.50
PVE_0657   -63.50    -1.50
PVE_0452   -43.50    -6.50
PVE_0986   -62.50    10.50
PVE_0632   -46.50    -2.50
PVE_0306   -50.50    -9.50
PVE_0484   -59.50    -5.50
PVE_0554   -36.50    -4.50
PVE_0178   -52.50   -12.50
PVE_0007   -67.50   -16.50
PVE_0081   -70.50   -14.50
PVE_0445   -50.50    -6.50
PVE_0274   -39.50   -10.50
PVE_0412   -35.50    -7.50
PVE_0920   -65.50     7.50
PVE_0193   -37.50   -12.50
PVE_0666   -54.50    -1.50
PVE_0258   -55.50   -10.50
PVE_0809   -72.50     3.50
PVE_0003   -71.50   -16.50
PVE_0816   -65.50     3.50
PVE_0706   -51.50    -0.50
PVE_0885   -76.50     6.50
PVE_0709   -48.50    -0.50
PVE_0211   -60.50   -11.50
PVE_0386   -61.50    -7.50
PVE_0064   -48.50   -15.50
PVE_0564   -71.50    -3.50
PVE_0970   -62.50     9.50
PVE_0509   -81.50    -4.50
PVE_0372   -75.50    -7.50
PVE_0576   -59.50    -3.50
PVE_0367   -34.50    -8.50
PVE_0350   -51.50    -8.50
PVE_0864   -71.50     5.50
PVE_0253   -60.50   -10.50
PVE_0870   -65.50     5.50
PVE_0327   -74.50    -8.50
PVE_0207   -64.50   -11.50
PVE_0394   -53.50    -7.50
PVE_0854   -54.50     4.50
PVE_0532   -58.50    -4.50
PVE_0218   -53.50   -11.50
PVE_0886   -75.50     6.50
PVE_0822   -59.50     3.50
PVE_0369   -78.50    -7.50
PVE_0658   -62.50    -1.50
PVE_0213   -58.50   -11.50
PVE_0453   -42.50    -6.50
PVE_0187   -43.50   -12.50
PVE_0791   -62.50     2.50
PVE_0221   -50.50   -11.50
PVE_0508   -35.50    -5.50
PVE_0580   -55.50    -3.50
PVE_0921   -64.50     7.50
PVE_0392   -55.50    -7.50
PVE_0469   -74.50    -5.50
PVE_0123   -67.50   -13.50
PVE_0792   -61.50     2.50
PVE_0090   -61.50   -14.50
PVE_0432   -63.50    -6.50
PVE_0176   -54.50   -12.50
PVE_0443   -52.50    -6.50
PVE_0290   -66.50    -9.50
PVE_0897   -64.50     6.50
PVE_0994   -69.50    11.50
PVE_0850   -58.50     4.50
PVE_0032   -42.50   -16.50
PVE_0228   -43.50   -11.50
PVE_0240   -73.50   -10.50
PVE_0008   -66.50   -16.50
PVE_0684   -73.50    -0.50
PVE_0477   -66.50    -5.50
PVE_0592   -43.50    -3.50
PVE_0941   -68.50     8.50
PVE_0291   -65.50    -9.50
PVE_0065   -47.50   -15.50
PVE_0843   -65.50     4.50
PVE_0628   -50.50    -2.50
PVE_0510   -80.50    -4.50
PVE_0051   -61.50   -15.50
PVE_0900   -61.50     6.50
PVE_0766   -57.50     1.50
PVE_0705   -52.50    -0.50
PVE_0965   -67.50     9.50
PVE_0747   -76.50     1.50
PVE_0717   -75.50     0.50
PVE_0963   -69.50     9.50
PVE_0803   -50.50     2.50
PVE_0512   -78.50    -4.50
PVE_0979   -69.50    10.50
PVE_0973   -75.50    10.50
PVE_1004   -68.50    12.50
PVE_0141   -49.50   -13.50
PVE_0160   -70.50   -12.50
PVE_0777   -76.50     2.50
PVE_0982   -66.50    10.50
PVE_0171   -59.50   -12.50
PVE_0800   -53.50     2.50
PVE_0958   -74.50     9.50
PVE_0198   -73.50   -11.50
PVE_0631   -47.50    -2.50
PVE_0389   -58.50    -7.50
PVE_0117   -73.50   -13.50
PVE_0558   -77.50    -3.50
PVE_0588   -47.50    -3.50
PVE_0019   -55.50   -16.50
PVE_0293   -63.50    -9.50
PVE_0348   -53.50    -8.50
PVE_0172   -58.50   -12.50
PVE_0325   -76.50    -8.50
PVE_0876   -59.50     5.50
PVE_0265   -48.50   -10.50
PVE_0401   -46.50    -7.50
PVE_0332   -69.50    -8.50
PVE_0735   -57.50     0.50
PVE_0925   -60.50     7.50
PVE_0150   -40.50   -13.50
PVE_0728   -64.50     0.50
PVE_0022   -52.50   -16.50
PVE_0539   -51.50    -4.50
PVE_0680   -77.50    -0.50
PVE_0136   -54.50   -13.50
PVE_0681   -76.50    -0.50
PVE_0857   -51.50     4.50
PVE_0647   -73.50    -1.50
PVE_0421   -74.50    -6.50
PVE_0776   -77.50     2.50
PVE_0560   -75.50    -3.50
PVE_0454   -41.50    -6.50
PVE_0363   -38.50    -8.50
PVE_0765   -58.50     1.50
PVE_0651   -69.50    -1.50
PVE_0144   -46.50   -13.50
PVE_0566   -69.50    -3.50
PVE_0655   -65.50    -1.50
PVE_0562   -73.50    -3.50
PVE_0557   -78.50    -3.50
PVE_0943   -66.50     8.50
PVE_0584   -51.50    -3.50
PVE_0195   -76.50   -11.50
PVE_0932   -77.50     8.50
PVE_0048   -64.50   -15.50
PVE_0013   -61.50   -16.50
PVE_0323   -78.50    -8.50
PVE_0206   -65.50   -11.50
PVE_0938   -71.50     8.50
PVE_0112   -39.50   -14.50
PVE_0531   -59.50    -4.50
PVE_0466   -77.50    -5.50
PVE_0088   -63.50   -14.50
PVE_0304   -52.50    -9.50
